clip_id	gram_tags	prag_tags	func_tags	herit_tags
AF002_1989_EP_SU2011_AD_01	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Imperf,Indefinido,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser,Aux,Aux:Haber,Det,Det:LoAdj,Gustar,Gustar:Propios,PerfPerif,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad,MarcadoresDisc:Probabilidad,MarcadoresDisc:Revision		
AF002_1989_EP_SU2011_AD_02	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Prep,Prep:Por,Pron,Pron:Objeto,SerEstar,SerEstar:Estar,SerEstar:Ser,VFut,VFut:Conjugado	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad		
AF002_1989_EP_SU2011_AD_03	Det,Det:Art,Det:Demo,Det:Pos,Gustar,Gustar:Interlocutor,Imperf,Indefinido,MImp,MImp:Informal,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,VFut,VFut:Conjugado,Aux,Aux:Haber,Det,Det:LoAdj,Gustar,Gustar:Propios,PerfPerif,SerEstar,SerEstar:EstarAux,VFut,VFut:Perifrasis	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Probabilidad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo		
AF002_1989_EP_SU2011_AD_04	Det,Det:Art,Det:CuantIndef,Det:Pos,Prep,Pron,Pron:Objeto,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision		Contacto,Contacto:Mixtas
AF002_1989_EP_SU2011_AD_05	Det,Det:Art,Det:CuantIndef,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pret,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Ser,Det,Det:LoAdj,MSub,MSub:Pres	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision,MarcadoresDisc,MarcadoresDisc:Revision	Expresar,Expresar:Sugerencias	
AF002_1989_EP_SU2011_AD_06	Det,Det:Art,Det:CuantIndef,Imperf,Indefinido,Prep,Pron,Pron:Objeto,SerEstar,SerEstar:Estar,SerEstar:Ser,SerEstar,SerEstar:EstarAux	MarcadoresDisc,MarcadoresDisc:Revision		
AF002_1989_EP_SU2011_AD_07	Det,Det:Art,Det:Pos,Indefinido,Prep,Aux,Aux:Haber,Det,Det:DetCombi,PerfPerif			
AF002_1989_EP_SU2011_AD_08	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Imperf,MSub,MSub:Pres,Prep,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,Det,Det:LoAdj,Genero,Genero:ExcepMasc,Gustar,Gustar:Ajenos,Gustar:Propios,PerfPerif,SerEstar,SerEstar:Ser,VFut,VFut:Perifrasis	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Probabilidad,MarcadoresDisc:Revision		
AF002_1989_EP_SU2011_AD_09	Det,Det:Art,Det:CuantIndef,Det:Pos,Gustar,Gustar:Interlocutor,Indefinido,Prep,Prep:Para,Pron,Pron:Objeto,SerEstar,SerEstar:Ser,Det,Det:LoAdj	MarcadoresDisc,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Probabilidad		
AF002_1989_EP_SU2011_AD_10	Det,Det:Art,Det:Demo,Haber,Haber:Exist,MSub,MSub:Pres,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Det,Det:LoAdj,Gustar,Gustar:Ajenos,SerEstar,SerEstar:EstarAux,VFut,VFut:Perifrasis	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Probabilidad		
